freq,Z_Re,Z_Im
0.01,9.914541458687081,-15.256628718347997
0.012589254117941675,9.172704384551981,-12.793560397118732
0.015848931924611134,8.507008199241989,-10.764459609823621
0.0199526231496888,7.910721915253579,-9.087456456796783
0.025118864315095794,7.377410985423701,-7.696916812808247
0.03162277660168379,6.901010789110271,-6.540111207581799
0.039810717055349734,6.4758693805936725,-5.574583406408358
0.05011872336272725,6.0967664856955315,-4.766069380819161
0.06309573444801933,5.758914894021194,-4.08684928758306
0.07943282347242814,5.4579494830189175,-3.5144402949169242
0.1,5.18990820232227,-3.0305579975425454
0.12589254117941676,4.951208472909964,-2.620289856866263
0.15848931924611143,4.738621616695228,-2.271436459834904
0.19952623149688797,4.5492471215406916,-1.9739860788212207
0.25118864315095807,4.380487773240726,-1.71969554221512
0.31622776601683794,4.230025992537517,-1.5017561844468443
0.3981071705534973,4.09580117985664,-1.3145279690262255
0.5011872336272725,3.975987581195211,-1.1533280919084952
0.6309573444801934,3.8689721954082086,-1.0142628070048372
0.7943282347242817,3.773332511541657,-0.8940931880859903
1.0,3.6878142656409674,-0.7901272964764037
1.2589254117941675,3.611309759527175,-0.7001328804336004
1.584893192461114,3.54283743746898,-0.622266275054115
1.9952623149688808,3.481523313000424,-0.5550145049030764
2.5118864315095824,3.4265845264506454,-0.49714862074737065
3.1622776601683795,3.3773149049085114,-0.4476869970794469
3.981071705534973,3.333071994867668,-0.4058677266732182
5.011872336272725,3.293264691129895,-0.37112946575881867
6.309573444801936,3.2573402693367535,-0.3431001983895793
7.943282347242821,3.224769261015618,-0.32159344757113345
10.0,3.195026069745865,-0.30661144326571477
12.589254117941675,3.1675623740528125,-0.2983545576916028
15.848931924611142,3.1417690446085627,-0.2972357097889303
19.952623149688808,3.1169203820191664,-0.30389699769438716
25.11886431509582,3.092091925100903,-0.3192227693344355
31.622776601683793,3.0660402343109903,-0.3443373423715146
39.810717055349734,3.037031328938409,-0.3805644709626409
50.11872336272725,3.0026078383488017,-0.4293065148936709
63.095734448019364,2.9593028580240466,-0.4917719783459903
79.43282347242821,2.9023597530101783,-0.5684453662156544
100.0,2.825629731692208,-0.6581808776292437
125.89254117941688,2.722007322368941,-0.7568912306981062
158.48931924611142,2.5849443007084236,-0.8561402819522144
199.52623149688787,2.411423605208019,-0.9426183549947522
251.18864315095823,2.2057363784931114,-1.0000733190371363
316.22776601683796,1.9815916562353726,-1.014521517850923
398.1071705534977,1.7595490766616888,-0.9806408339065277
501.18723362727246,1.5599135127789323,-0.904673581376016
630.9573444801943,1.3957235012609839,-0.8012473273567302
794.3282347242822,1.2704169368212859,-0.6868278278050077
1000.0,1.1801914016644492,-0.57452804659723
1258.9254117941687,1.1179375504343603,-0.47231718183940513
1584.893192461114,1.0762484986821594,-0.3837041410396306
1995.262314968883,1.048892103019322,-0.30925604210111934
2511.886431509582,1.031181683593459,-0.24796150843003073
3162.2776601683795,1.019817254454616,-0.19814740504430112
3981.0717055349774,1.0125669190069142,-0.15799809468996756
5011.872336272725,1.007958615545236,-0.12580933128776678
6309.573444801943,1.00503669270963,-0.10008963378589349
7943.282347242822,1.0031869521604069,-0.07958294894371834
10000.0,1.0020171685644577,-0.06325497338560546
12589.254117941688,1.0012778930661916,-0.050265476432518955
15848.93192461114,1.000810898178657,-0.03993756162292505
19952.62314968883,1.0005159899003448,-0.03172874595602484
25118.864315095823,1.0003297930184258,-0.02520568647741312
31622.776601683792,1.0002122503257955,-0.0200229348780342
39810.71705534977,1.0001380553340864,-0.015905468303903228
50118.72336272725,1.0000912256494823,-0.012634512620910508
63095.73444801943,1.000061669785726,-0.01003612940332535
79432.82347242821,1.0000430168396865,-0.007972073349643814
100000.0,1.000031245212806,-0.006332491160389361
125892.54117941688,1.0000238164986117,-0.005030102357408398
158489.3192461114,1.0000191285695035,-0.00399556697116875
199526.2314968883,1.0000161702824524,-0.0031738009096553077
251188.6431509582,1.0000143035033184,-0.0025210465883700895
316227.7660168379,1.0000131255163958,-0.0020025447480331907
398107.17055349774,1.0000123821804066,-0.0015906844532982026
501187.2336272725,1.0000119131172411,-0.0012635332497975965
630957.3444801943,1.0000116171192768,-0.0010036694576616453
794328.2347242822,1.0000114303175494,-0.0007972545455858231
1000000.0,1.00001131240334,-0.000633296251647918
